zip,city,street,state,visited
27549,LOUISBURG,125 N MAIN ST,NC,true
28098,LOWELL,206 E 1st St,NC,false
27024,LOWGAP,8855 W PINE ST,NC,false
28552,LOWLAND,4232 Lowland Road,NC,true
27851,LUCAMA,101 S Main St,NC,true
28357,LUMBER BRIDGE,104 S Fayetteville St,NC,false
28358,LUMBERTON,301 E 7TH ST,NC,false
28750,LYNN,2633 Lynn Rd,NC,false
27852,MACCLESFIELD,115 W Edgecombe St,NC,true
27551,MACON,1608 US Hwy 158 E,NC,true
27025,MADISON,302 Hwy St Ste 195,NC,false
28751,MAGGIE VALLEY,4280 Soco Rd,NC,false
28453,MAGNOLIA,215 E Main St,NC,false
28650,MAIDEN,512 Island Ford Rd,NC,false
27552,MAMERS,61 Mamers Rd,NC,true
27953,MANNS HARBOR,6941 US-64,NC,false
27553,MANSON,1402 US Highway 1 S,NC,true
27954,MANTEO,212B US Highway 64 and 264,NC,false
27956,MAPLE,3452 Caratoke Hwy,NC,false
28454,MAPLE HILL,545 Maple Hill School Rd,NC,false
28905,MARBLE,189 Marble Rd,NC,false
27853,MARGARETTSVILLE,2717 Tower Rd,NC,true
28362,MARIETTA,2733 Marietta Rd,NC,false
28752,MARION,215 S MAIN ST,NC,false
28754,MARS HILL,65 S MAIN ST,NC,false
28753,MARSHALL,100 S Main St,NC,false
28553,MARSHALLBERG,1160 MARSHALLBERG RD,NC,false
28103,MARSHVILLE,322 E Union St,NC,false
28105,MATTHEWS,301 E JOHN ST,NC,false
28554,MAURY,3413 NC-903 N,NC,true
28364,MAXTON,215 McCaskill Ave,NC,false
27027,MAYODAN,1000 W Main St,NC,false
28555,MAYSVILLE,1004 Main St,NC,false
28101,MCADENVILLE,111 Main St,NC,false
28102,MCFARLAN,12005 US-52 S,NC,false
28649,MCGRADY,11532 Sparta Rd,NC,false
27301,MCLEANSVILLE,5711 McLeansville Rd,NC,false
27302,MEBANE,100 VILLAGE DR,NC,false
28556,MERRITT,19686 NC-55,NC,true
27957,MERRY HILL,335 Old Merry Hill Rd,NC,false
28755,MICAVILLE,551 Micaville Loop,NC,false
27555,MICRO,101 S Railroad St,NC,true
27556,MIDDLEBURG,69 N Hawkins Ave,NC,true
27557,MIDDLESEX,10286 S Nash St,NC,true
28107,MIDLAND,13379 Highway 601,NC,false
28756,MILL SPRING,50 School Rd,NC,false
28651,MILLERS CREEK,148 Post Office Dr,NC,false
27305,MILTON,311 Milton Rd,NC,true
28108,MINERAL SPRINGS,5912 Waxhaw Hwy,NC,false
28652,MINNEAPOLIS,2751 Us Highway 19 E,NC,false
28109,MISENHEIMER,48456 US-52,NC,false
27028,MOCKSVILLE,1119 Yadkinville Rd,NC,false
27559,MONCURE,213 Post Office Rd,NC,true
28110,MONROE,101 S CHARLOTTE AVE,NC,false
28653,MONTEZUMA,380 Old NC Highway 181,NC,false
28757,MONTREAT,301 Assembly Dr,NC,false
28114,MOORESBORO,104 W Church St,NC,false
28115,MOORESVILLE,172 WILLIAMSON RD,NC,false
28654,MORAVIAN FALLS,1933 Moravian Falls Rd,NC,false
28557,MOREHEAD CITY,3500 BRIDGES ST,NC,false
28655,MORGANTON,320 SANFORD DR,NC,false
27560,MORRISVILLE,10520 CHAPEL HILL RD,NC,false
28119,MORVEN,108 E Main St,NC,false
27030,MOUNT AIRY,111 S MAIN ST,NC,false
27306,MOUNT GILEAD,106 N SCHOOL ST,NC,false
28123,MOUNT MOURNE,1519 Mecklenburg Hwy,NC,false
28758,MOUNTAIN HOME,524 Courtland Blvd,NC,false
27958,MOYOCK,574 Caratoke Hwy,NC,false
28120,MT HOLLY,806 W Central Ave,NC,false
28365,MT OLIVE,611 N Breazeale Ave,NC,false
28124,MT PLEASANT,1498 S Main St,NC,false
28125,MT ULLA,775 Grampian Rd,NC,false
27855,MURFREESBORO,115 N Wynn St,NC,false
28906,MURPHY,388 VALLEY RIVER AVE,NC,false
27959,NAGS HEAD,100 W Deering St,NC,false
28455,NAKINA,7731 7 Creeks Hwy,NC,false
28760,NAPLES,121 S Naples Rd,NC,false
27856,NASHVILLE,504 S Barnes St,NC,true
28761,NEBO,229 Nebo School Rd,NC,false
28560,NEW BERN,233 Middle St # 101,NC,true
27562,NEW HILL,3525 Old US 1 Hwy,NC,true
28127,NEW LONDON,212 S Main St,NC,false
28126,NEWELL,8105 Old Concord Rd,NC,false
28657,NEWLAND,124 Elk St,NC,false
28570,NEWPORT,337 Howard Blvd,NC,false
28658,NEWTON,218 S MAIN AVE,NC,false
28366,NEWTON GROVE,208 Fayetteville St,NC,true
27563,NORLINA,306 Liberty St,NC,true
28367,NORMAN,3664 NC Highway 220 N,NC,false
28659,NORTH WILKESBORO,300 8th St,NC,false
28128,NORWOOD,243 S Main St,NC,false
27857,OAK CITY,100 E Commerce St,NC,false
27310,OAK RIDGE,8323 Linville Rd,NC,false
28129,OAKBORO,302 N Main St,NC,false
27960,OCRACOKE,1122 Irvin Garrish Hwy,NC,false
28762,OLD FORT,180 E Main St,NC,false
28660,OLIN,583 Olin Rd,NC,false
28368,OLIVIA,480 State Road 1207,NC,true
28571,ORIENTAL,809 Broad St,NC,true
28369,ORRUM,1545 S Creek Rd,NC,false
28763,OTTO,8491 Georgia Rd,NC,false
27565,OXFORD,144 MAIN ST,NC,true
27860,PANTEGO,26022 US-264 ALT,NC,true
28371,PARKTON,29 S Fayetteville St,NC,false
28661,PATTERSON,2008 ROBY MARTIN RD,NC,false
28130,PAW CREEK,7400 Old Mt Holly Rd,NC,false
28133,PEACHLAND,14 W Passaic St,NC,false
27311,PELHAM,6331 Old U.S. Hwy 29,NC,true
28372,PEMBROKE,404 E 3rd St,NC,false
27862,PENDLETON,7488 NC-35,NC,true
28765,PENLAND,1162 Penland Rd,NC,false
28766,PENROSE,5858 Old Hendersonville Hwy,NC,false
27040,PFAFFTOWN,4715 Yadkinville Rd,NC,false
27863,PIKEVILLE,214 Big Daddy's Rd,NC,true
27041,PILOT MOUNTAIN,647K S Key St,NC,false
27042,PINE HALL,1716 Pine Hall Rd,NC,false
27568,PINE LEVEL,121 W Pine St,NC,true
28373,PINEBLUFF,125 N Walnut St,NC,true
28374,PINEHURST,80 BLAKE BLVD,NC,true
28662,PINEOLA,2884 Linville Falls Hwy,NC,false
27864,PINETOPS,108 SW 1st St,NC,false
27865,PINETOWN,378 Main St,NC,true
28134,PINEVILLE,206 College St,NC,false
28663,PINEY CREEK,4216 Piney Post Office Rd,NC,false
28572,PINK HILL,5951 NC-11 S,NC,true
27043,PINNACLE,2870 N Old 52 Rd,NC,false
28768,PISGAH FOREST,1 Old Hendersonville Hwy,NC,false
27312,PITTSBORO,916 East St,NC,true
27313,PLEASANT GARDEN,4621 Pleasant Garden Rd,NC,true
27866,PLEASANT HILL,4366 US-301,NC,true
28664,PLUMTREE,4420 S US Hwy 19E S,NC,false
27962,PLYMOUTH,113 W Main St,NC,false
27964,POINT HARBOR,9142 Caratoke Hwy,NC,false
28135,POLKTON,45 W Polk St,NC,false
28136,POLKVILLE,4418 Polkville Rd,NC,false
28573,POLLOCKSVILLE,125 Main St,NC,false
27965,POPLAR BRANCH,227 Poplar Branch Rd,NC,false
27867,POTECASI,3185 NC-35,NC,true
27966,POWELLS POINT,7664 Caratoke Hwy,NC,false
27967,POWELLSVILLE,103 Bethlehem Church Rd,NC,false
27569,PRINCETON,107 W Edwards St,NC,true
28375,PROCTORVILLE,101 W Main St,NC,false
27314,PROSPECT HILL,17 Main St,NC,true
27315,PROVIDENCE,48 Park Springs Rd,NC,false
28665,PURLEAR,226 Purlear Rd,NC,false
28376,RAEFORD,122 W ELWOOD AVE STE 102,NC,false
27611,RALEIGH,311 NEW BERN AVE,NC,true
27316,RAMSEUR,1514 Main St,NC,true
27317,RANDLEMAN,611 W ACADEMY ST,NC,true
27868,RED OAK,8382 Red Oak Blvd,NC,true
28377,RED SPRINGS,230 S MAIN ST,NC,false
